Model,Precision,Recall,f1 score,Accuracy,ROC-AUC,Training time (sec)
Gradient Boosting,0.9786976130630872,0.9619599342846576,0.96994104177402,0.9772520473157416,0.9619599342846576,24.85
KNN,0.962472224508271,0.9350243852088872,0.947672287694456,0.9608735213830756,0.9350243852088872,0.31
