,Threshold,Accuracy,Duration
0,20 %,0.9763421292083713,21.86
1,25 %,0.9736123748862603,20.4
2,30 %,0.9690627843494085,19.62
3,35 %,0.9672429481346679,21.79
4,40 %,0.9563239308462238,23.38
