,Model,Precision,Recall,f1 score,Accuracy,Error,Loss,ROC-AUC
0,Rnn with GLOVE embeddings,0.8617289844227114,0.8822288799511158,0.9104495456719273,0.9144676923751831,8.55323076248169,0.2239103764295578,0.8617289844227113
1,Ann with GLOVE embeddings,0.910071478337161,0.8860876033460966,0.869483840967217,0.907188355922699,9.281164407730103,0.2344207614660263,0.910071478337161
2,Cnn with GLOVE embeddings,0.8329140109582913,0.8642204101803805,0.9176837822671156,0.9053685069084167,9.463149309158325,0.21218007802963257,0.8329140109582913
