,Threshold,Accuracy,Duration
0,10 %,0.9872611464968153,18.67
1,25 %,0.9845313921747043,25.65
2,15 %,0.9836214740673339,11.9
3,20 %,0.9818016378525932,15.31
4,30 %,0.9808917197452229,26.4
